curr_id,contract,sex,car,income,credit,income_type,education,family_status,house,start_day,organization
100036,Cash loans,F,N,112500,512064,Working,Secondary / secondary special,Civil marriage,House / apartment,TUESDAY,Services
100037,Cash loans,F,N,90000,199008,Working,Secondary / secondary special,Civil marriage,House / apartment,SATURDAY,Business Entity Type 2
100039,Cash loans,M,Y,360000,733315.5,Commercial associate,Secondary / secondary special,Married,House / apartment,THURSDAY,Self-employed
100040,Cash loans,F,N,135000,1125000,State servant,Higher education,Married,House / apartment,FRIDAY,Security Ministries
100041,Cash loans,F,N,112500,450000,Working,Higher education,Married,House / apartment,MONDAY,Self-employed
100043,Cash loans,F,N,198000,641173.5,Commercial associate,Secondary / secondary special,Married,House / apartment,THURSDAY,Other
100044,Cash loans,M,N,121500,454500,Working,Secondary / secondary special,Married,House / apartment,FRIDAY,Transport: type 4
100045,Cash loans,F,N,99000,247275,Pensioner,Secondary / secondary special,Married,House / apartment,FRIDAY,XNA
100046,Revolving loans,M,Y,180000,540000,Working,Higher education,Married,House / apartment,TUESDAY,Business Entity Type 3
100047,Cash loans,M,N,202500,1193580,Commercial associate,Secondary / secondary special,Married,House / apartment,TUESDAY,Business Entity Type 3
100048,Cash loans,F,N,202500,604152,Working,Secondary / secondary special,Married,House / apartment,MONDAY,Industry: type 1
100049,Cash loans,F,N,135000,288873,Working,Secondary / secondary special,Civil marriage,House / apartment,THURSDAY,Self-employed
100050,Cash loans,F,N,108000,746280,Pensioner,Higher education,Single / not married,House / apartment,WEDNESDAY,XNA
100051,Cash loans,M,N,202500,661702.5,Working,Secondary / secondary special,Civil marriage,House / apartment,WEDNESDAY,Business Entity Type 3
100052,Revolving loans,F,N,90000,180000,Working,Secondary / secondary special,Civil marriage,House / apartment,MONDAY,Self-employed
100053,Cash loans,F,N,202500,305221.5,Pensioner,Secondary / secondary special,Single / not married,House / apartment,MONDAY,XNA
100054,Cash loans,F,N,99000,260640,Working,Secondary / secondary special,Married,House / apartment,WEDNESDAY,Business Entity Type 3
100055,Cash loans,F,N,130500,1350000,State servant,Secondary / secondary special,Married,House / apartment,THURSDAY,Government
100056,Cash loans,M,Y,360000,1506816,Working,Secondary / secondary special,Married,House / apartment,THURSDAY,Transport: type 2
100058,Revolving loans,F,N,54000,135000,State servant,Higher education,Married,House / apartment,THURSDAY,School
100059,Cash loans,M,Y,540000,675000,Commercial associate,Higher education,Married,House / apartment,TUESDAY,Services
100060,Cash loans,M,Y,76500,454500,Working,Secondary / secondary special,Married,House / apartment,TUESDAY,Emergency
100061,Cash loans,F,N,225000,314055,Commercial associate,Higher education,Married,House / apartment,THURSDAY,Self-employed
100062,Cash loans,M,Y,81000,675000,Pensioner,Secondary / secondary special,Married,House / apartment,TUESDAY,XNA
100063,Cash loans,F,N,180000,837427.5,Working,Higher education,Married,House / apartment,MONDAY,Medicine
100064,Cash loans,F,N,67500,298728,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,MONDAY,XNA
100068,Revolving loans,M,N,81000,247500,Working,Secondary / secondary special,Married,House / apartment,WEDNESDAY,Security
100069,Cash loans,M,Y,360000,640458,Working,Secondary / secondary special,Separated,House / apartment,MONDAY,Transport: type 4
100070,Cash loans,M,Y,540000,1227901.5,Working,Higher education,Widow,House / apartment,TUESDAY,Business Entity Type 3
100071,Cash loans,F,N,180000,1663987.5,Commercial associate,Secondary / secondary special,Married,House / apartment,MONDAY,Industry: type 11
100072,Cash loans,M,N,180000,1080000,Working,Incomplete higher,Single / not married,With parents,TUESDAY,Trade: type 2
100073,Cash loans,M,Y,324000,1130760,Pensioner,Higher education,Civil marriage,House / apartment,THURSDAY,XNA
100075,Cash loans,F,N,112500,95940,Working,Higher education,Single / not married,House / apartment,MONDAY,University
100076,Cash loans,M,Y,180000,315000,Commercial associate,Secondary / secondary special,Married,House / apartment,MONDAY,Transport: type 3
100077,Cash loans,M,N,180000,1256400,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,WEDNESDAY,Police
100078,Cash loans,F,Y,180000,1035000,State servant,Higher education,Married,House / apartment,TUESDAY,Government
100079,Revolving loans,M,N,225000,270000,Working,Secondary / secondary special,Separated,Municipal apartment,THURSDAY,Construction
100080,Revolving loans,F,N,157500,450000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,SUNDAY,Kindergarten
100081,Cash loans,M,Y,180000,450000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,SATURDAY,Other
100082,Cash loans,M,N,180000,450000,Commercial associate,Higher education,Married,House / apartment,MONDAY,Business Entity Type 3
100083,Cash loans,M,Y,103500,573628.5,Working,Secondary / secondary special,Married,House / apartment,MONDAY,Business Entity Type 3
100084,Cash loans,M,N,225000,495351,Working,Secondary / secondary special,Separated,House / apartment,FRIDAY,Business Entity Type 3
100085,Cash loans,M,N,157500,755190,Working,Secondary / secondary special,Married,House / apartment,WEDNESDAY,Business Entity Type 1
100086,Cash loans,F,N,135000,675000,Commercial associate,Higher education,Widow,House / apartment,THURSDAY,Self-employed
100087,Cash loans,F,N,202500,1288350,Working,Secondary / secondary special,Married,House / apartment,FRIDAY,Self-employed
100088,Revolving loans,F,N,112500,135000,Commercial associate,Higher education,Married,House / apartment,THURSDAY,School
100089,Cash loans,M,N,135000,337761,Working,Secondary / secondary special,Civil marriage,House / apartment,TUESDAY,Self-employed
100093,Cash loans,F,N,94500,585000,Working,Secondary / secondary special,Married,House / apartment,TUESDAY,Postal
100094,Cash loans,F,N,108000,113760,Pensioner,Higher education,Single / not married,House / apartment,THURSDAY,XNA
100095,Revolving loans,F,N,67500,135000,Working,Secondary / secondary special,Married,House / apartment,THURSDAY,Trade: type 7
100096,Cash loans,F,N,81000,252000,Pensioner,Secondary / secondary special,Married,House / apartment,THURSDAY,XNA
100097,Cash loans,M,Y,157500,760225.5,Working,Secondary / secondary special,Married,House / apartment,THURSDAY,Business Entity Type 3
100098,Revolving loans,M,Y,225000,270000,Working,Secondary / secondary special,Civil marriage,House / apartment,WEDNESDAY,Transport: type 3
100099,Cash loans,F,N,360000,733315.5,Pensioner,Secondary / secondary special,Separated,House / apartment,THURSDAY,XNA
100100,Cash loans,M,Y,202500,796396.5,Working,Higher education,Married,House / apartment,FRIDAY,Industry: type 11
100101,Cash loans,F,Y,202500,343377,State servant,Higher education,Single / not married,House / apartment,WEDNESDAY,Business Entity Type 1
100102,Cash loans,F,N,126000,327024,Working,Secondary / secondary special,Single / not married,House / apartment,SUNDAY,Transport: type 4
100103,Cash loans,F,N,72000,450000,Working,Secondary / secondary special,Married,House / apartment,FRIDAY,School
100104,Cash loans,F,N,90000,547344,Working,Secondary / secondary special,Married,House / apartment,WEDNESDAY,Business Entity Type 3
100105,Cash loans,F,N,193500,225000,Working,Secondary / secondary special,Married,House / apartment,TUESDAY,Government
100108,Cash loans,F,N,171000,545040,Working,Secondary / secondary special,Married,House / apartment,WEDNESDAY,Business Entity Type 3
100110,Cash loans,M,Y,135000,373140,Commercial associate,Secondary / secondary special,Married,House / apartment,WEDNESDAY,Housing
100111,Cash loans,F,Y,112500,862560,Commercial associate,Secondary / secondary special,Married,With parents,MONDAY,Business Entity Type 3
100112,Cash loans,M,Y,315000,953460,Commercial associate,Incomplete higher,Single / not married,With parents,SUNDAY,Industry: type 4
100113,Cash loans,M,Y,76500,135000,Working,Secondary / secondary special,Single / not married,House / apartment,MONDAY,Agriculture
100114,Cash loans,F,N,135000,284400,Commercial associate,Higher education,Single / not married,House / apartment,MONDAY,Restaurant
100115,Cash loans,F,N,90000,315000,Working,Secondary / secondary special,Married,House / apartment,SUNDAY,Business Entity Type 3
100116,Cash loans,F,N,243000,900000,Working,Higher education,Married,House / apartment,THURSDAY,Kindergarten
100118,Cash loans,F,N,90000,675000,Pensioner,Secondary / secondary special,Widow,House / apartment,TUESDAY,XNA
100119,Revolving loans,F,N,54000,180000,Working,Secondary / secondary special,Married,House / apartment,SATURDAY,Medicine
100120,Cash loans,F,N,135000,781920,Working,Higher education,Married,House / apartment,FRIDAY,Government
100121,Cash loans,M,N,126000,787131,Working,Secondary / secondary special,Married,With parents,FRIDAY,Business Entity Type 2
100122,Cash loans,F,N,76500,808650,Commercial associate,Higher education,Married,With parents,TUESDAY,Other
100123,Cash loans,F,N,103500,675000,Working,Secondary / secondary special,Widow,House / apartment,SATURDAY,Medicine
100124,Cash loans,M,N,225000,448272,Pensioner,Secondary / secondary special,Widow,House / apartment,WEDNESDAY,XNA
100125,Cash loans,F,N,126000,263686.5,Pensioner,Secondary / secondary special,Married,House / apartment,MONDAY,XNA
100126,Revolving loans,M,N,135000,180000,Working,Secondary / secondary special,Married,House / apartment,FRIDAY,Transport: type 4
100127,Cash loans,M,N,112500,52128,Pensioner,Secondary / secondary special,Married,House / apartment,FRIDAY,XNA
100129,Revolving loans,F,Y,85500,135000,Working,Higher education,Married,House / apartment,MONDAY,Business Entity Type 1
100130,Cash loans,F,N,157500,723996,Commercial associate,Incomplete higher,Separated,House / apartment,SUNDAY,Trade: type 2
100131,Cash loans,F,N,270000,891072,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,THURSDAY,Other
100132,Cash loans,F,N,202500,1136439,Commercial associate,Secondary / secondary special,Widow,House / apartment,TUESDAY,Business Entity Type 2
100133,Cash loans,F,N,67500,384048,Working,Secondary / secondary special,Civil marriage,With parents,WEDNESDAY,Government
100134,Revolving loans,F,N,202500,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,MONDAY,Medicine
100135,Cash loans,M,N,135000,391194,Commercial associate,Secondary / secondary special,Married,House / apartment,SATURDAY,Business Entity Type 3
100136,Cash loans,M,Y,157500,1571931,State servant,Secondary / secondary special,Married,House / apartment,SUNDAY,Business Entity Type 3
100137,Cash loans,F,Y,225000,891072,Pensioner,Secondary / secondary special,Married,House / apartment,FRIDAY,XNA
100138,Cash loans,M,Y,135000,824823,Pensioner,Higher education,Married,House / apartment,TUESDAY,XNA
100139,Cash loans,F,N,157500,302341.5,Working,Secondary / secondary special,Married,House / apartment,WEDNESDAY,Business Entity Type 3
100140,Revolving loans,F,N,157500,675000,Commercial associate,Higher education,Married,House / apartment,FRIDAY,Business Entity Type 3
100142,Cash loans,M,Y,360000,579195,State servant,Higher education,Civil marriage,House / apartment,FRIDAY,Transport: type 2
100143,Revolving loans,M,N,162000,270000,State servant,Higher education,Married,House / apartment,TUESDAY,Government
100144,Cash loans,F,N,112500,535500,Working,Secondary / secondary special,Separated,House / apartment,THURSDAY,Self-employed
100145,Cash loans,F,Y,202500,260725.5,Working,Secondary / secondary special,Separated,House / apartment,TUESDAY,Self-employed
100146,Cash loans,M,Y,117000,327024,Pensioner,Secondary / secondary special,Married,House / apartment,WEDNESDAY,XNA
100147,Cash loans,F,N,135000,518562,Working,Secondary / secondary special,Married,House / apartment,SUNDAY,Business Entity Type 3
100148,Cash loans,F,N,247500,755190,Commercial associate,Secondary / secondary special,Married,House / apartment,MONDAY,Other
100149,Cash loans,M,Y,171000,539590.5,Working,Secondary / secondary special,Married,House / apartment,TUESDAY,Self-employed
100151,Cash loans,M,N,135000,182016,Commercial associate,Higher education,Single / not married,House / apartment,MONDAY,Business Entity Type 3
100152,Cash loans,F,N,157500,254412,Working,Secondary / secondary special,Married,Municipal apartment,WEDNESDAY,Self-employed
100153,Cash loans,M,Y,202500,1107981,Working,Secondary / secondary special,Married,House / apartment,SATURDAY,Construction
100154,Revolving loans,M,N,144000,180000,Working,Secondary / secondary special,Married,House / apartment,THURSDAY,Self-employed
100155,Cash loans,M,N,157500,675000,Working,Secondary / secondary special,Married,House / apartment,THURSDAY,Construction
100156,Cash loans,F,Y,157500,945000,Commercial associate,Secondary / secondary special,Married,With parents,THURSDAY,Medicine
100157,Cash loans,M,N,180000,1755000,Working,Secondary / secondary special,Married,House / apartment,MONDAY,Business Entity Type 3
100158,Cash loans,M,N,180000,590337,Commercial associate,Incomplete higher,Married,House / apartment,WEDNESDAY,Culture
100159,Cash loans,F,N,225000,1515415.5,Commercial associate,Secondary / secondary special,Married,House / apartment,FRIDAY,Trade: type 7
100160,Cash loans,M,N,292500,675000,Working,Higher education,Married,House / apartment,FRIDAY,Business Entity Type 3
100161,Cash loans,F,N,90000,370629,Commercial associate,Secondary / secondary special,Married,House / apartment,MONDAY,Self-employed
100162,Cash loans,F,N,112500,547344,Pensioner,Secondary / secondary special,Single / not married,House / apartment,MONDAY,XNA
100163,Cash loans,F,N,130500,550489.5,Working,Higher education,Separated,House / apartment,FRIDAY,Other
100164,Cash loans,F,Y,450000,407434.5,Commercial associate,Higher education,Civil marriage,House / apartment,WEDNESDAY,Self-employed
100165,Cash loans,F,Y,175500,1293502.5,Pensioner,Secondary / secondary special,Married,House / apartment,TUESDAY,XNA
100166,Cash loans,F,N,58500,152820,Working,Secondary / secondary special,Married,Municipal apartment,FRIDAY,Government
100167,Cash loans,F,N,180000,427500,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,FRIDAY,Hotel
100173,Cash loans,F,N,117000,781920,Working,Higher education,Single / not married,House / apartment,TUESDAY,Government
100174,Revolving loans,F,N,180000,225000,Working,Incomplete higher,Married,Municipal apartment,FRIDAY,Self-employed
100175,Cash loans,F,N,202500,1251072,Working,Secondary / secondary special,Civil marriage,House / apartment,TUESDAY,Industry: type 7
100176,Cash loans,F,N,135000,1078200,Working,Secondary / secondary special,Married,House / apartment,WEDNESDAY,Government
100177,Cash loans,M,N,112500,312682.5,Working,Secondary / secondary special,Civil marriage,House / apartment,THURSDAY,Self-employed
100178,Cash loans,F,N,119250,679500,Working,Higher education,Separated,House / apartment,MONDAY,Self-employed
100179,Cash loans,F,Y,202500,675000,Commercial associate,Higher education,Married,House / apartment,MONDAY,Trade: type 7
100180,Cash loans,F,N,315000,1288350,Commercial associate,Higher education,Married,House / apartment,FRIDAY,Transport: type 4
100181,Cash loans,F,N,157500,245619,Working,Secondary / secondary special,Single / not married,House / apartment,TUESDAY,Business Entity Type 3
100182,Revolving loans,F,N,112500,135000,Working,Secondary / secondary special,Separated,House / apartment,THURSDAY,Government
100183,Cash loans,F,N,103500,239850,Pensioner,Secondary / secondary special,Separated,House / apartment,THURSDAY,XNA
100185,Cash loans,M,N,58500,187704,Pensioner,Secondary / secondary special,Married,House / apartment,SATURDAY,XNA
100186,Cash loans,F,N,117000,269550,Pensioner,Secondary / secondary special,Single / not married,House / apartment,TUESDAY,XNA
100188,Cash loans,F,N,225000,1325475,Working,Higher education,Married,Office apartment,FRIDAY,School
100189,Cash loans,F,N,135000,263844,Working,Incomplete higher,Separated,House / apartment,THURSDAY,Trade: type 7
100190,Cash loans,M,Y,162000,263686.5,Commercial associate,Higher education,Married,House / apartment,THURSDAY,Government
100191,Cash loans,F,N,112500,544491,Working,Higher education,Separated,House / apartment,TUESDAY,Business Entity Type 2
100192,Cash loans,F,N,111915,225000,Commercial associate,Secondary / secondary special,Single / not married,With parents,FRIDAY,Trade: type 3
100193,Cash loans,F,Y,225000,296280,Commercial associate,Secondary / secondary special,Separated,House / apartment,SUNDAY,Other
100194,Revolving loans,F,N,157500,315000,Working,Higher education,Civil marriage,House / apartment,WEDNESDAY,Industry: type 3
100195,Cash loans,M,Y,90000,336150,Commercial associate,Higher education,Single / not married,House / apartment,FRIDAY,Trade: type 3
100196,Cash loans,F,Y,164250,755190,Working,Higher education,Married,House / apartment,TUESDAY,Construction
100197,Cash loans,F,N,157500,497520,Working,Secondary / secondary special,Married,House / apartment,MONDAY,Self-employed
100198,Cash loans,M,Y,135000,531000,Working,Secondary / secondary special,Married,House / apartment,MONDAY,Self-employed
100199,Cash loans,F,N,112500,269550,Working,Secondary / secondary special,Married,House / apartment,WEDNESDAY,Industry: type 3
100200,Cash loans,F,N,216000,450000,Working,Secondary / secondary special,Widow,House / apartment,MONDAY,Business Entity Type 3
100201,Cash loans,F,N,180000,675000,Commercial associate,Higher education,Single / not married,House / apartment,SATURDAY,Trade: type 2
100202,Cash loans,F,N,67500,127350,Pensioner,Secondary / secondary special,Single / not married,House / apartment,TUESDAY,XNA
100203,Cash loans,F,N,54000,119925,Pensioner,Secondary / secondary special,Widow,House / apartment,TUESDAY,XNA
100204,Cash loans,F,N,81000,532494,Pensioner,Secondary / secondary special,Married,House / apartment,WEDNESDAY,XNA
100205,Cash loans,F,N,63000,808650,Working,Secondary / secondary special,Married,House / apartment,TUESDAY,Housing
100206,Cash loans,M,Y,157500,318528,Commercial associate,Secondary / secondary special,Married,House / apartment,FRIDAY,Business Entity Type 3
100207,Cash loans,F,N,157500,700830,Working,Secondary / secondary special,Civil marriage,House / apartment,SATURDAY,Government
100208,Cash loans,M,N,180000,888840,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,FRIDAY,Self-employed
100209,Revolving loans,M,N,180000,540000,Commercial associate,Higher education,Married,House / apartment,THURSDAY,Construction
100210,Cash loans,F,N,202500,771493.5,Working,Higher education,Separated,House / apartment,MONDAY,School
100211,Cash loans,M,N,225000,746280,Commercial associate,Secondary / secondary special,Married,House / apartment,TUESDAY,Other
100213,Cash loans,F,N,49500,278460,Working,Secondary / secondary special,Married,House / apartment,SUNDAY,Industry: type 3
100214,Cash loans,F,N,202500,436032,Commercial associate,Higher education,Civil marriage,House / apartment,WEDNESDAY,Business Entity Type 3
100215,Cash loans,F,Y,90000,227520,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,THURSDAY,XNA
100216,Cash loans,F,N,90000,67500,Working,Secondary / secondary special,Married,Municipal apartment,TUESDAY,Business Entity Type 3
100217,Cash loans,F,N,180000,254700,Working,Secondary / secondary special,Separated,House / apartment,MONDAY,Self-employed
100218,Cash loans,M,Y,337500,876078,Commercial associate,Higher education,Single / not married,House / apartment,SATURDAY,Business Entity Type 3
100219,Cash loans,M,N,315000,2250000,Commercial associate,Higher education,Married,House / apartment,FRIDAY,Business Entity Type 3
100220,Cash loans,F,N,225000,1040985,Commercial associate,Higher education,Single / not married,House / apartment,TUESDAY,Self-employed
100221,Cash loans,F,N,225000,684054,Commercial associate,Secondary / secondary special,Widow,House / apartment,TUESDAY,Bank
100224,Cash loans,F,Y,225000,1256400,Commercial associate,Secondary / secondary special,Married,House / apartment,TUESDAY,Business Entity Type 3
100225,Cash loans,M,Y,157500,720000,Commercial associate,Secondary / secondary special,Married,With parents,THURSDAY,Self-employed
100226,Revolving loans,F,N,112500,270000,Working,Secondary / secondary special,Married,House / apartment,TUESDAY,Self-employed
100227,Cash loans,M,N,292500,1024740,Working,Higher education,Single / not married,House / apartment,WEDNESDAY,Self-employed
100228,Cash loans,F,N,121500,1102500,State servant,Secondary / secondary special,Married,Municipal apartment,MONDAY,Business Entity Type 2
100229,Cash loans,F,N,157500,544491,Working,Secondary / secondary special,Married,House / apartment,TUESDAY,Medicine
100230,Revolving loans,F,N,135000,405000,Working,Secondary / secondary special,Married,House / apartment,WEDNESDAY,Self-employed
100231,Cash loans,M,Y,108000,912240,Commercial associate,Secondary / secondary special,Married,House / apartment,THURSDAY,Industry: type 3
100233,Cash loans,F,N,216000,679671,Working,Secondary / secondary special,Married,House / apartment,WEDNESDAY,Transport: type 4
100234,Revolving loans,F,N,67500,180000,Working,Secondary / secondary special,Widow,With parents,THURSDAY,Hotel
100235,Cash loans,F,N,135000,364896,Working,Secondary / secondary special,Married,House / apartment,WEDNESDAY,Military
100236,Cash loans,M,Y,112500,312768,Working,Secondary / secondary special,Married,House / apartment,TUESDAY,Business Entity Type 2
100237,Cash loans,F,N,144000,1288350,Working,Secondary / secondary special,Civil marriage,Rented apartment,SATURDAY,Trade: type 3
100238,Cash loans,M,Y,135000,781920,Commercial associate,Secondary / secondary special,Married,House / apartment,SUNDAY,Business Entity Type 3
100239,Cash loans,F,N,225000,1483231.5,Working,Secondary / secondary special,Married,House / apartment,MONDAY,Business Entity Type 3
100240,Cash loans,M,N,135000,590337,Working,Secondary / secondary special,Married,House / apartment,SUNDAY,Housing
100242,Cash loans,M,Y,90000,101880,Working,Secondary / secondary special,Married,Municipal apartment,SATURDAY,Business Entity Type 3
100243,Cash loans,M,N,112500,161730,Working,Higher education,Married,House / apartment,SUNDAY,Business Entity Type 3
100244,Cash loans,M,N,247500,447768,Working,Secondary / secondary special,Married,House / apartment,SATURDAY,Industry: type 9
100246,Cash loans,F,N,135000,495216,Working,Secondary / secondary special,Married,House / apartment,THURSDAY,Self-employed
100247,Cash loans,F,N,225000,402939,Working,Secondary / secondary special,Married,House / apartment,FRIDAY,Business Entity Type 1
100248,Cash loans,F,N,90000,808650,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,WEDNESDAY,XNA
100249,Cash loans,F,N,67500,76410,Working,Secondary / secondary special,Married,House / apartment,FRIDAY,Industry: type 3
100250,Cash loans,F,Y,72000,90000,Working,Secondary / secondary special,Married,With parents,FRIDAY,Business Entity Type 3
100251,Cash loans,M,Y,202500,270000,Working,Secondary / secondary special,Married,House / apartment,THURSDAY,Other
100252,Cash loans,F,N,225000,490495.5,Working,Secondary / secondary special,Married,House / apartment,WEDNESDAY,Self-employed
100254,Cash loans,M,Y,292500,1078200,Commercial associate,Higher education,Married,House / apartment,FRIDAY,Business Entity Type 3
100255,Cash loans,M,Y,315000,824544,Working,Secondary / secondary special,Single / not married,House / apartment,MONDAY,Business Entity Type 3
100257,Cash loans,F,N,90000,312768,Pensioner,Secondary / secondary special,Single / not married,House / apartment,TUESDAY,XNA
100258,Cash loans,F,N,135000,81000,Working,Secondary / secondary special,Civil marriage,House / apartment,TUESDAY,Restaurant
100259,Cash loans,M,Y,180000,427500,Pensioner,Secondary / secondary special,Married,House / apartment,FRIDAY,XNA
100260,Cash loans,M,N,180000,180000,Working,Higher education,Single / not married,Co-op apartment,FRIDAY,Government
100261,Cash loans,F,N,90000,522000,Commercial associate,Secondary / secondary special,Married,House / apartment,SATURDAY,Postal
100262,Cash loans,M,Y,315000,1575000,Working,Secondary / secondary special,Married,House / apartment,SATURDAY,Postal
100263,Cash loans,F,N,108000,585000,Pensioner,Higher education,Widow,House / apartment,THURSDAY,XNA
100264,Cash loans,F,N,121500,1215000,Pensioner,Higher education,Married,House / apartment,SATURDAY,XNA
100265,Cash loans,F,N,112500,723996,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,TUESDAY,Self-employed
100266,Cash loans,F,N,157500,1256400,Commercial associate,Secondary / secondary special,Widow,Municipal apartment,FRIDAY,Business Entity Type 3
100267,Cash loans,M,N,225000,675000,Commercial associate,Higher education,Married,House / apartment,TUESDAY,Business Entity Type 3
100268,Cash loans,F,N,85500,225000,Working,Secondary / secondary special,Married,House / apartment,TUESDAY,Business Entity Type 3
100269,Cash loans,M,N,180000,427450.5,Commercial associate,Secondary / secondary special,Married,House / apartment,THURSDAY,Business Entity Type 3
100270,Revolving loans,F,N,90000,337500,Pensioner,Higher education,Married,House / apartment,TUESDAY,XNA
100272,Revolving loans,F,N,135000,180000,Working,Secondary / secondary special,Married,House / apartment,FRIDAY,Business Entity Type 2
100273,Cash loans,F,N,157500,1710000,Working,Secondary / secondary special,Married,House / apartment,WEDNESDAY,Other
100274,Cash loans,M,Y,308250,1305000,Working,Secondary / secondary special,Civil marriage,House / apartment,MONDAY,Self-employed
100275,Cash loans,F,Y,108000,646920,Pensioner,Secondary / secondary special,Widow,House / apartment,SUNDAY,XNA
100276,Cash loans,F,Y,135000,497520,Working,Secondary / secondary special,Married,House / apartment,SATURDAY,Services
100277,Cash loans,M,Y,67500,364896,Pensioner,Secondary / secondary special,Married,House / apartment,THURSDAY,XNA
100279,Cash loans,M,N,180000,254700,Pensioner,Secondary / secondary special,Widow,House / apartment,WEDNESDAY,XNA
100281,Cash loans,F,N,112500,675000,Commercial associate,Secondary / secondary special,Widow,House / apartment,THURSDAY,Self-employed
100282,Revolving loans,F,Y,73341,135000,Commercial associate,Higher education,Single / not married,House / apartment,THURSDAY,Insurance
100283,Cash loans,F,N,135000,747000,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,SATURDAY,Self-employed
100284,Cash loans,M,Y,180000,675000,Working,Higher education,Married,With parents,TUESDAY,Business Entity Type 3
100285,Revolving loans,F,N,112500,180000,Working,Secondary / secondary special,Civil marriage,Rented apartment,THURSDAY,Self-employed
