prev_id,curr_id,contract,amount,credit,down_payment,start_day,purpose,contract_status,payment_type,reject_reason,client,product_type,channel ,yield_group
1251951,100018,Consumer loans,36805.365,36805.365,0,TUESDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Country-wide,low_normal
1620327,100019,Consumer loans,84136.5,104683.5,0,FRIDAY,XAP,Approved,Cash through the bank,XAP,New,XNA,Country-wide,middle
2383711,100021,Consumer loans,26100,27477,0,SUNDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Regional / Local,middle
1973524,100021,Consumer loans,22428,13500,8928,THURSDAY,XAP,Approved,Cash through the bank,XAP,New,XNA,Country-wide,low_normal
1213820,100021,Consumer loans,71950.5,79546.5,0,SATURDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Country-wide,low_normal
2425547,100021,Consumer loans,99189,98694,9922.5,FRIDAY,XAP,Approved,Cash through the bank,XAP,Refreshed,XNA,Country-wide,middle
1485871,100021,Consumer loans,26100,27477,0,SUNDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Regional / Local,middle
1319299,100022,Consumer loans,89091,103203,0,THURSDAY,XAP,Approved,Cash through the bank,XAP,New,XNA,Stone,low_normal
2411919,100023,Consumer loans,91282.5,93145.5,9000,SATURDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Stone,middle
1131053,100023,Consumer loans,78705,76680,7870.5,SATURDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Country-wide,low_normal
2454202,100023,Cash loans,180000,239242.5,,FRIDAY,XNA,Approved,Cash through the bank,XAP,Repeater,x-sell,AP+ (Cash loan),high
1271192,100025,Consumer loans,58455,36810,23382,SATURDAY,XAP,Approved,XNA,XAP,New,XNA,Country-wide,high
1724082,100025,Cash loans,900000,1042560,,MONDAY,XNA,Approved,Cash through the bank,XAP,Repeater,x-sell,Credit and cash offices,low_normal
2023031,100025,Consumer loans,95625,95625,0,MONDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Stone,middle
1239349,100025,Cash loans,452782.755,479679.255,,TUESDAY,XNA,Approved,Cash through the bank,XAP,Repeater,x-sell,Credit and cash offices,high
1338206,100025,Consumer loans,121500,137367,0,MONDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Stone,middle
1252218,100026,Consumer loans,132345,132345,0,FRIDAY,XAP,Approved,Cash through the bank,XAP,New,XNA,Country-wide,low_normal
1772508,100026,Cash loans,675000,744498,,FRIDAY,XNA,Approved,Cash through the bank,XAP,Refreshed,x-sell,Credit and cash offices,high
1701107,100026,Cash loans,0,0,,SATURDAY,XNA,Canceled,XNA,XAP,Repeater,XNA,Credit and cash offices,XNA
2531618,100027,Cash loans,225000,239850,,SATURDAY,XNA,Refused,Cash through the bank,HC,Repeater,x-sell,AP+ (Cash loan),low_normal
2447872,100027,Consumer loans,226984.5,239467.5,0,MONDAY,XAP,Approved,Cash through the bank,XAP,New,XNA,Country-wide,middle
1811514,100027,Cash loans,202500,215865,,WEDNESDAY,XNA,Approved,Cash through the bank,XAP,Repeater,x-sell,Country-wide,middle
1914954,100028,Revolving loans,0,225000,,THURSDAY,XAP,Approved,XNA,XAP,Repeater,x-sell,Contact center,XNA
2056192,100028,Consumer loans,65956.5,59521.5,11250,THURSDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Country-wide,middle
2691769,100030,Consumer loans,33660,33660,0,SATURDAY,XAP,Refused,XNA,SCO,Repeater,XNA,Stone,low_normal
2579186,100030,Consumer loans,33660,33660,0,FRIDAY,XAP,Refused,XNA,SCO,Repeater,XNA,Stone,low_normal
1929809,100030,Consumer loans,33660,33660,0,FRIDAY,XAP,Refused,XNA,SCO,Repeater,XNA,Stone,low_normal
2197792,100030,Consumer loans,33250.5,33250.5,0,WEDNESDAY,XAP,Refused,Cash through the bank,LIMIT,Refreshed,XNA,Country-wide,XNA
2179840,100030,Consumer loans,47241,49734,0,SATURDAY,XAP,Approved,Cash through the bank,XAP,Refreshed,XNA,Regional / Local,middle
1583574,100030,Consumer loans,36720,36720,0,FRIDAY,XAP,Refused,Cash through the bank,LIMIT,Refreshed,XNA,Country-wide,XNA
1265862,100030,Consumer loans,33660,30294,3366,SATURDAY,XAP,Refused,XNA,SCO,Repeater,XNA,Stone,low_normal
1883850,100030,Consumer loans,33660,30294,3366,THURSDAY,XAP,Refused,XNA,LIMIT,Repeater,XNA,Stone,high
1625550,100030,Consumer loans,21969.225,21969.225,0,SATURDAY,XAP,Refused,Cash through the bank,LIMIT,Refreshed,XNA,Country-wide,XNA
1514328,100032,Consumer loans,69255,42255,27000,SUNDAY,XAP,Approved,Cash through the bank,XAP,New,XNA,Regional / Local,middle
1187878,100034,Consumer loans,121455,115083,12145.5,MONDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Regional / Local,middle
1339797,100035,Cash loans,0,0,,FRIDAY,XNA,Refused,XNA,HC,Repeater,XNA,Credit and cash offices,XNA
2449573,100035,Consumer loans,46935,45724.5,4693.5,SUNDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Country-wide,high
2425354,100035,Cash loans,135000,163732.5,,SATURDAY,XNA,Approved,Cash through the bank,XAP,Repeater,x-sell,Credit and cash offices,high
1219930,100035,Consumer loans,25087.5,26329.5,0,TUESDAY,XAP,Approved,Cash through the bank,XAP,New,XNA,Country-wide,high
2276677,100035,Cash loans,0,0,,FRIDAY,XNA,Canceled,XNA,XAP,Repeater,XNA,Credit and cash offices,XNA
1198431,100035,Consumer loans,117000,107640,9360,MONDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Stone,high
2500673,100035,Cash loans,540000,582768,,WEDNESDAY,XNA,Approved,Cash through the bank,XAP,Repeater,x-sell,Credit and cash offices,middle
1297562,100035,Cash loans,0,0,,MONDAY,XNA,Refused,XNA,HC,Repeater,XNA,Credit and cash offices,XNA
2274957,100035,Cash loans,0,0,,WEDNESDAY,XNA,Canceled,XNA,XAP,Repeater,XNA,Credit and cash offices,XNA
1886236,100035,Cash loans,0,0,,THURSDAY,XNA,Canceled,XNA,XAP,Repeater,XNA,Credit and cash offices,XNA
1344613,100035,Cash loans,1260000,1260000,,WEDNESDAY,Payments on other loans,Refused,Cash through the bank,HC,Repeater,walk-in,Credit and cash offices,low_action
2019479,100035,Cash loans,0,0,,THURSDAY,XNA,Refused,XNA,HC,Repeater,XNA,Credit and cash offices,XNA
1905091,100035,Cash loans,180000,239238,,MONDAY,XNA,Approved,Cash through the bank,XAP,Repeater,x-sell,Credit and cash offices,high
2375139,100035,Cash loans,0,0,,MONDAY,XNA,Refused,XNA,HC,Repeater,XNA,Credit and cash offices,XNA
2694660,100035,Cash loans,0,0,,FRIDAY,XNA,Canceled,XNA,XAP,Repeater,XNA,Credit and cash offices,XNA
1965432,100035,Cash loans,0,0,,FRIDAY,XNA,Canceled,XNA,XAP,Repeater,XNA,Credit and cash offices,XNA
2430929,100036,Cash loans,0,0,,WEDNESDAY,XNA,Canceled,XNA,XAP,Repeater,XNA,Credit and cash offices,XNA
1241855,100036,Consumer loans,197752.5,197752.5,0,SATURDAY,XAP,Refused,Cash through the bank,HC,Repeater,XNA,Country-wide,low_action
2542217,100036,Cash loans,0,0,,THURSDAY,XNA,Canceled,XNA,XAP,Repeater,XNA,Credit and cash offices,XNA
1709863,100036,Consumer loans,58797,65007,0,THURSDAY,XAP,Approved,Cash through the bank,XAP,New,XNA,Country-wide,middle
2621538,100036,Revolving loans,45000,45000,,THURSDAY,XAP,Approved,XNA,XAP,New,walk-in,Country-wide,XNA
1196843,100037,Consumer loans,153877.5,167080.5,0,SUNDAY,XAP,Refused,XNA,HC,Refreshed,XNA,Country-wide,middle
1334240,100037,Consumer loans,38385,45720,1935,SATURDAY,XAP,Approved,XNA,XAP,Repeater,XNA,Stone,high
2327930,100038,Consumer loans,80955,92605.5,8095.5,SATURDAY,XAP,Approved,XNA,XAP,New,XNA,Country-wide,high
1029269,100039,Consumer loans,24709.095,25929,4.095,SUNDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Country-wide,high
1077565,100039,Cash loans,1350000,1487214,,MONDAY,Buying a used car,Approved,Cash through the bank,XAP,Refreshed,walk-in,Channel of corporate sales,low_normal
1836452,100039,Cash loans,0,0,,FRIDAY,XNA,Canceled,XNA,XAP,Repeater,XNA,Credit and cash offices,XNA
1125423,100042,Consumer loans,97956,95431.5,9796.5,TUESDAY,XAP,Approved,Cash through the bank,XAP,New,XNA,Country-wide,low_normal
1127680,100042,Cash loans,900000,978408,,MONDAY,XNA,Approved,Cash through the bank,XAP,Repeater,walk-in,Credit and cash offices,low_normal
1716930,100042,Cash loans,315000,315000,,THURSDAY,XNA,Approved,Cash through the bank,XAP,Repeater,x-sell,Credit and cash offices,middle
1643964,100042,Cash loans,112500,119925,0,MONDAY,Education,Approved,Cash through the bank,XAP,Repeater,walk-in,Credit and cash offices,high
1643959,100042,Cash loans,225000,247275,0,TUESDAY,Everyday expenses,Approved,Cash through the bank,XAP,Repeater,walk-in,Credit and cash offices,middle
2535181,100042,Cash loans,967500,1051789.5,,MONDAY,XNA,Approved,Cash through the bank,XAP,Repeater,x-sell,Credit and cash offices,middle
1185699,100043,Consumer loans,35775,33340.5,4500,MONDAY,XAP,Approved,Cash through the bank,XAP,New,XNA,Country-wide,low_normal
1801140,100043,Cash loans,675000,781920,,SATURDAY,XNA,Approved,Cash through the bank,XAP,Repeater,x-sell,AP+ (Cash loan),low_normal
1753751,100043,Consumer loans,1575000,1384740,315000,MONDAY,XAP,Refused,XNA,LIMIT,XNA,XNA,Stone,middle
1737706,100043,Consumer loans,1575000,1575000,0,MONDAY,XAP,Refused,XNA,HC,XNA,XNA,Stone,low_normal
1348171,100043,Consumer loans,1575000,1575000,0,MONDAY,XAP,Refused,XNA,HC,XNA,XNA,Stone,low_normal
2455539,100043,Consumer loans,1125000,1236375,0,TUESDAY,XAP,Refused,XNA,LIMIT,Repeater,XNA,Stone,low_normal
1516108,100044,Consumer loans,50850,48181.5,5085,SATURDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Stone,low_normal
2088496,100044,Cash loans,315000,349929,0,FRIDAY,XNA,Approved,Cash through the bank,XAP,Repeater,x-sell,Credit and cash offices,middle
2063227,100044,Cash loans,652500,652500,,TUESDAY,XNA,Approved,Cash through the bank,XAP,Repeater,x-sell,Credit and cash offices,middle
2314167,100045,Consumer loans,80995.5,91687.5,0,FRIDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Country-wide,high
2803221,100045,Consumer loans,72445.5,80811,0,FRIDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Country-wide,high
2052027,100045,Cash loans,1170000,1271929.5,,WEDNESDAY,XNA,Approved,Cash through the bank,XAP,Repeater,x-sell,Credit and cash offices,low_normal
1223113,100046,Cash loans,337500,407911.5,,MONDAY,Repairs,Approved,Cash through the bank,XAP,New,walk-in,Credit and cash offices,low_normal
1472630,100047,Revolving loans,0,450000,,SATURDAY,XAP,Approved,XNA,XAP,Repeater,x-sell,Credit and cash offices,XNA
2426800,100047,Cash loans,157500,157500,,FRIDAY,XNA,Approved,Cash through the bank,XAP,Refreshed,x-sell,Credit and cash offices,high
1021215,100047,Cash loans,675000,744498,,FRIDAY,XNA,Refused,Cash through the bank,LIMIT,Repeater,walk-in,Credit and cash offices,low_normal
1035321,100047,Consumer loans,38205,34384.5,3820.5,SUNDAY,XAP,Approved,Cash through the bank,XAP,New,XNA,Country-wide,low_normal
2060141,100047,Cash loans,450000,450000,,FRIDAY,XNA,Approved,Cash through the bank,XAP,Repeater,walk-in,Credit and cash offices,low_normal
1827758,100048,Cash loans,0,0,,FRIDAY,XNA,Canceled,XNA,XAP,Repeater,XNA,Credit and cash offices,XNA
1366913,100048,Cash loans,540000,649345.5,,FRIDAY,XNA,Approved,Cash through the bank,XAP,Repeater,x-sell,Credit and cash offices,middle
1060558,100048,Revolving loans,225000,225000,,THURSDAY,XAP,Approved,XNA,XAP,New,walk-in,Credit and cash offices,XNA
1514918,100049,Consumer loans,33250.5,41251.5,0,MONDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Country-wide,high
1560053,100049,Consumer loans,41305.5,40855.5,4131,SUNDAY,XAP,Approved,Cash through the bank,XAP,New,XNA,Country-wide,high
1997429,100050,Revolving loans,0,0,,WEDNESDAY,XAP,Canceled,XNA,XAP,Repeater,XNA,Credit and cash offices,XNA
1794209,100050,Revolving loans,180000,180000,,WEDNESDAY,XAP,Approved,XNA,XAP,Repeater,x-sell,Credit and cash offices,XNA
2067446,100051,Cash loans,0,0,,THURSDAY,XNA,Refused,XNA,SCOFR,Repeater,XNA,Credit and cash offices,XNA
1168900,100051,Consumer loans,136620,152068.5,0,SUNDAY,XAP,Approved,Cash through the bank,XAP,New,XNA,Country-wide,low_action
1845095,100052,Consumer loans,20160,21226.5,0,MONDAY,XAP,Approved,Cash through the bank,XAP,New,XNA,Country-wide,high
1717648,100052,Consumer loans,27175.5,30663,0,THURSDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Country-wide,high
2667797,100053,Revolving loans,0,585000,,MONDAY,XAP,Refused,XNA,HC,Repeater,x-sell,Credit and cash offices,XNA
2572058,100053,Cash loans,90000,121968,,WEDNESDAY,Other,Approved,Cash through the bank,XAP,New,walk-in,Credit and cash offices,high
2743024,100053,Revolving loans,0,0,,MONDAY,XAP,Canceled,XNA,XAP,Repeater,XNA,Credit and cash offices,XNA
1212261,100053,Cash loans,90000,95940,,MONDAY,XNA,Approved,Cash through the bank,XAP,Repeater,x-sell,Credit and cash offices,high
1814975,100054,Consumer loans,92025,92025,0,WEDNESDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Stone,low_normal
1944776,100054,Consumer loans,77400,69660,7740,TUESDAY,XAP,Approved,Cash through the bank,XAP,New,XNA,Stone,low_normal
2256622,100054,Consumer loans,95310,95310,0,SATURDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Stone,low_normal
1823225,100054,Consumer loans,62325,56092.5,6232.5,SATURDAY,XAP,Refused,Cash through the bank,LIMIT,Repeater,XNA,Stone,low_normal
2134202,100055,Consumer loans,109309.5,108765,10935,FRIDAY,XAP,Approved,XNA,XAP,Refreshed,XNA,Stone,middle
1636219,100056,Consumer loans,223920,201528,22392,THURSDAY,XAP,Approved,Cash through the bank,XAP,New,XNA,Stone,high
1826250,100056,Cash loans,135000,142425,,TUESDAY,XNA,Approved,XNA,XAP,Repeater,x-sell,Country-wide,middle
1874778,100056,Cash loans,405000,506038.5,0,MONDAY,XNA,Approved,Cash through the bank,XAP,Repeater,x-sell,Country-wide,middle
1384551,100057,Consumer loans,28813.5,23859,5764.5,FRIDAY,XAP,Approved,Cash through the bank,XAP,Refreshed,XNA,Country-wide,middle
2515275,100057,Consumer loans,31763.25,31763.25,0,FRIDAY,XAP,Unused offer,Cash through the bank,CLIENT,Refreshed,XNA,Country-wide,XNA
1238824,100057,Consumer loans,82210.5,92385,0,FRIDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Country-wide,middle
2048021,100059,Consumer loans,49593.825,44631,4962.825,MONDAY,XAP,Refused,Cash through the bank,VERIF,New,XNA,Country-wide,middle
2587658,100059,Consumer loans,35680.05,23274,13504.05,THURSDAY,XAP,Refused,Cash through the bank,LIMIT,Refreshed,XNA,Country-wide,high
2198123,100059,Cash loans,450000,450000,,FRIDAY,XNA,Refused,Cash through the bank,HC,Repeater,x-sell,Credit and cash offices,low_normal
1787234,100059,Revolving loans,90000,90000,,FRIDAY,XAP,Approved,XNA,XAP,Repeater,x-sell,Credit and cash offices,XNA
1709238,100059,Revolving loans,90000,855000,,FRIDAY,XAP,Refused,XNA,HC,Repeater,x-sell,Credit and cash offices,XNA
1837863,100059,Cash loans,0,0,,FRIDAY,XNA,Canceled,XNA,XAP,Repeater,XNA,Credit and cash offices,XNA
1458794,100059,Consumer loans,46304.55,46300.5,4.05,WEDNESDAY,XAP,Refused,Cash through the bank,SCO,Repeater,XNA,Country-wide,high
1698819,100059,Consumer loans,1305000,1305000,0,SATURDAY,XAP,Refused,Cash through the bank,LIMIT,Repeater,XNA,Stone,low_normal
2696022,100059,Revolving loans,0,0,,FRIDAY,XAP,Canceled,XNA,XAP,Repeater,XNA,Credit and cash offices,XNA
1514468,100059,Cash loans,337500,337500,,FRIDAY,XNA,Approved,Cash through the bank,XAP,Refreshed,walk-in,AP+ (Cash loan),high
1191663,100060,Cash loans,180000,180000,,FRIDAY,Repairs,Approved,Cash through the bank,XAP,New,walk-in,Credit and cash offices,high
1950847,100061,Consumer loans,44055,50094,4405.5,SATURDAY,XAP,Approved,XNA,XAP,New,XNA,Stone,high
1194857,100061,Cash loans,765000,830637,,TUESDAY,XNA,Approved,XNA,XAP,Repeater,x-sell,Credit and cash offices,middle
1548007,100061,Cash loans,225000,239850,,MONDAY,XNA,Approved,XNA,XAP,Repeater,x-sell,Credit and cash offices,high
1629558,100062,Cash loans,0,0,,WEDNESDAY,XNA,Refused,XNA,HC,Repeater,XNA,Credit and cash offices,XNA
2594866,100062,Cash loans,900000,900000,,WEDNESDAY,XNA,Refused,XNA,HC,Repeater,x-sell,Contact center,low_normal
1356946,100062,Cash loans,0,0,,TUESDAY,XNA,Canceled,XNA,XAP,Repeater,XNA,Contact center,XNA
1748547,100062,Cash loans,900000,900000,,WEDNESDAY,XNA,Approved,Cash through the bank,XAP,Repeater,x-sell,Credit and cash offices,low_normal
2404485,100062,Cash loans,679500,796104,,TUESDAY,XNA,Approved,Cash through the bank,XAP,Repeater,x-sell,Contact center,low_normal
1443849,100062,Cash loans,0,0,,TUESDAY,XNA,Refused,XNA,HC,Repeater,XNA,Credit and cash offices,XNA
1227828,100062,Cash loans,900000,900000,,TUESDAY,XNA,Canceled,XNA,XAP,Repeater,x-sell,Contact center,low_normal
1322806,100062,Consumer loans,751500,705811.5,75150,THURSDAY,XAP,Approved,Cash through the bank,XAP,Refreshed,XNA,Country-wide,low_normal
1971594,100063,Revolving loans,0,0,,TUESDAY,XAP,Canceled,XNA,XAP,Repeater,XNA,Credit and cash offices,XNA
2481012,100063,Cash loans,202500,247837.5,,MONDAY,Buying a used car,Refused,Cash through the bank,LIMIT,Repeater,walk-in,Credit and cash offices,high
1528229,100063,Cash loans,157500,192762,,MONDAY,Buying a used car,Refused,Cash through the bank,LIMIT,Repeater,walk-in,Credit and cash offices,high
2083316,100063,Cash loans,135000,182956.5,,MONDAY,XNA,Approved,XNA,XAP,Repeater,walk-in,Credit and cash offices,high
2339761,100063,Cash loans,450000,512370,,THURSDAY,XNA,Approved,XNA,XAP,Repeater,x-sell,Contact center,middle
2340827,100063,Consumer loans,166410,188487,0,MONDAY,XAP,Approved,Cash through the bank,XAP,New,XNA,Country-wide,low_normal
1068253,100063,Cash loans,270000,393322.5,,MONDAY,Buying a used car,Refused,Cash through the bank,LIMIT,Repeater,walk-in,Credit and cash offices,high
2774355,100065,Consumer loans,117180,82026,35154,SATURDAY,XAP,Approved,Cash through the bank,XAP,New,XNA,Stone,middle
2081566,100066,Cash loans,450000,545040,,TUESDAY,Other,Refused,Cash through the bank,HC,Repeater,walk-in,Credit and cash offices,low_normal
2827980,100066,Cash loans,0,0,,TUESDAY,XNA,Canceled,XNA,XAP,Repeater,XNA,Credit and cash offices,XNA
1008517,100066,Consumer loans,68791.5,76054.5,0,MONDAY,XAP,Approved,Cash through the bank,XAP,New,XNA,Country-wide,middle
1084766,100066,Consumer loans,92110.5,101839.5,0,TUESDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Country-wide,high
1852787,100066,Revolving loans,45000,45000,,TUESDAY,XAP,Approved,XNA,XAP,Repeater,walk-in,Country-wide,XNA
2530269,100066,Cash loans,0,0,,TUESDAY,XNA,Canceled,XNA,XAP,Repeater,XNA,Credit and cash offices,XNA
2359184,100067,Cash loans,450000,450000,,WEDNESDAY,XNA,Refused,Cash through the bank,HC,Repeater,x-sell,AP+ (Cash loan),low_normal
1814267,100067,Cash loans,0,0,,WEDNESDAY,XNA,Canceled,XNA,XAP,Repeater,XNA,AP+ (Cash loan),XNA
1821761,100067,Consumer loans,53910,31410,22500,MONDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Country-wide,high
2778996,100067,Consumer loans,0,0,,TUESDAY,XAP,Canceled,XNA,XAP,Repeater,XNA,Regional / Local,XNA
1971526,100067,Cash loans,450000,450000,,THURSDAY,XNA,Refused,XNA,HC,Repeater,x-sell,Contact center,low_normal
1178079,100067,Cash loans,0,0,,THURSDAY,XNA,Canceled,XNA,XAP,Repeater,XNA,AP+ (Cash loan),XNA
1252480,100067,Cash loans,450000,450000,,FRIDAY,Other,Refused,Cash through the bank,HC,Repeater,walk-in,AP+ (Cash loan),low_normal
1558608,100067,Cash loans,360000,360000,,THURSDAY,XNA,Refused,Cash through the bank,HC,Repeater,x-sell,AP+ (Cash loan),low_normal
2786342,100067,Cash loans,450000,450000,,THURSDAY,XNA,Refused,Cash through the bank,HC,Repeater,x-sell,AP+ (Cash loan),low_normal
1876755,100067,Consumer loans,52339.5,47101.5,5238,SATURDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Country-wide,middle
2381123,100067,Cash loans,45000,46485,,FRIDAY,XNA,Refused,Cash through the bank,HC,Repeater,x-sell,AP+ (Cash loan),middle
1742384,100067,Cash loans,450000,533160,,MONDAY,XNA,Refused,XNA,HC,Repeater,x-sell,Contact center,low_normal
1141180,100067,Cash loans,135000,135000,,TUESDAY,XNA,Refused,Cash through the bank,HC,Repeater,x-sell,Credit and cash offices,middle
1030188,100069,Consumer loans,353250,317925,35325,FRIDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Stone,low_normal
1273431,100069,Cash loans,0,0,,MONDAY,XNA,Canceled,XNA,XAP,Repeater,XNA,Credit and cash offices,XNA
2173424,100069,Consumer loans,112770,90216,22554,MONDAY,XAP,Approved,XNA,XAP,Repeater,XNA,Country-wide,middle
2467922,100069,Consumer loans,157315.5,166864.5,7875,MONDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Stone,middle
1362017,100069,Consumer loans,130860,130212,13086,SUNDAY,XAP,Approved,Cash through the bank,XAP,Repeater,XNA,Country-wide,middle
2244872,100069,Consumer loans,126945.675,126945,0.675,SATURDAY,XAP,Approved,Cash through the bank,XAP,New,XNA,Stone,low_action
1642618,100071,Cash loans,594000,617521.5,,FRIDAY,XNA,Approved,Cash through the bank,XAP,Repeater,x-sell,Credit and cash offices,low_normal
